Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
"Gaming & Leisure Properties, Inc.",13.96,1.85,23.94,21.19,60.94,55.5,66.38,5.44,Normal,Medium Risk
ARCH CAPITAL GROUP LTD.,16.46,6.28,21.26,16.8,60.8,55.37,66.23,5.43,Normal,Medium Risk
"QXO, Inc.",6.69,24.85,4.39,24.85,60.78,55.35,66.21,5.43,ANOMALY,Medium Risk
RAYMOND JAMES FINANCIAL INC,20.71,11.56,9.33,19.14,60.74,55.31,66.17,5.43,Normal,Medium Risk
MKS INC,16.26,17.22,14.85,12.41,60.74,55.31,66.17,5.43,Normal,Medium Risk
Carlyle Group Inc.,18.48,9.29,13.13,19.79,60.69,55.26,66.12,5.43,Normal,Medium Risk
Aon plc,19.72,3.33,19.38,18.04,60.47,55.05,65.89,5.42,Normal,Medium Risk
MARKEL GROUP INC.,17.42,11.42,13.85,17.7,60.39,54.97,65.81,5.42,Normal,Medium Risk
Smurfit Westrock plc,13.1,21.57,18.76,6.96,60.39,54.97,65.81,5.42,Normal,Medium Risk
BALL Corp,17.35,19.96,13.44,9.6,60.35,54.94,65.76,5.41,Normal,Medium Risk
EQUITY LIFESTYLE PROPERTIES INC,16.05,5.32,22.5,16.43,60.3,54.89,65.71,5.41,Normal,Medium Risk
DARDEN RESTAURANTS INC,19.79,16.02,20.34,4.12,60.27,54.86,65.68,5.41,Normal,Medium Risk
Crane Co,24.59,9.6,17.08,8.98,60.25,54.24,66.26,6.01,ANOMALY,Medium Risk
TD SYNNEX CORP,18.31,19.82,12.89,9.19,60.21,54.8,65.62,5.41,Normal,Medium Risk
"Essential Utilities, Inc.",9.43,5.52,24.11,21.09,60.15,54.14,66.16,6.01,Normal,Medium Risk
SERVICE CORP INTERNATIONAL,10.19,12.45,20.01,17.49,60.14,54.13,66.15,6.01,Normal,Medium Risk
LOWES COMPANIES INC,24.04,16.43,19.07,0.58,60.12,54.72,65.52,5.4,Normal,Medium Risk
W. P. Carey Inc.,11.52,4.8,21.47,22.29,60.08,54.68,65.48,5.4,Normal,Medium Risk
"Rivian Automotive, Inc. / DE",16.29,24.62,4.8,14.37,60.08,54.68,65.48,5.4,Normal,Medium Risk
COHERENT CORP.,7.78,19.68,9.77,22.84,60.07,54.67,65.47,5.4,Normal,Medium Risk
CVS HEALTH Corp,16.7,22.63,17.59,2.85,59.77,54.38,65.16,5.39,Normal,Medium Risk
"Confluent, Inc.",13.79,24.31,7.89,13.75,59.74,54.35,65.13,5.39,Normal,Medium Risk
PACKAGING CORP OF AMERICA,21.23,16.15,16.77,5.28,59.43,53.45,65.41,5.98,Normal,Medium Risk
Constellation Energy Corp,17.9,15.64,13.41,12.45,59.4,54.02,64.78,5.38,Normal,Medium Risk
AFLAC INC,18.0,6.72,14.47,20.2,59.39,54.01,64.77,5.38,Normal,Medium Risk
TAKE TWO INTERACTIVE SOFTWARE INC,18.66,24.59,7.41,8.71,59.37,54.0,64.74,5.37,Normal,Medium Risk
JPMORGAN CHASE & CO,20.35,5.21,16.19,17.59,59.34,53.97,64.71,5.37,Normal,Medium Risk
Strategy Inc,2.47,24.85,7.1,24.85,59.27,53.9,64.64,5.37,ANOMALY,Medium Risk
Marathon Petroleum Corp,17.15,11.9,15.98,14.13,59.16,53.79,64.53,5.37,Normal,Medium Risk
WATTS WATER TECHNOLOGIES INC,24.88,11.04,18.0,5.21,59.13,53.16,65.1,5.97,ANOMALY,Medium Risk
MID AMERICA APARTMENT COMMUNITIES INC.,10.36,7.17,22.57,19.03,59.13,53.76,64.5,5.37,Normal,Medium Risk
SBA COMMUNICATIONS CORP,19.75,2.74,19.65,16.98,59.12,53.16,65.08,5.96,Normal,Medium Risk
"Evergy, Inc.",4.39,10.73,24.54,19.41,59.07,53.11,65.03,5.96,Normal,Medium Risk
SS&C Technologies Holdings Inc,15.43,2.19,18.72,22.67,59.01,53.65,64.37,5.36,Normal,Medium Risk
CENTERPOINT ENERGY INC,3.05,13.55,23.75,18.52,58.87,52.92,64.82,5.95,Normal,Medium Risk
Extra Space Storage Inc.,10.32,4.25,22.7,21.54,58.81,53.46,64.16,5.35,Normal,Medium Risk
IQVIA HOLDINGS INC.,18.9,11.01,13.48,15.36,58.75,53.4,64.1,5.35,Normal,Medium Risk
"Cheniere Energy Partners, L.P.",23.15,4.63,22.36,8.61,58.75,53.4,64.1,5.35,Normal,Medium Risk
MSCI Inc.,24.18,0.86,15.84,17.73,58.61,53.27,63.95,5.34,Normal,Medium Risk
"ROCKWELL AUTOMATION, INC",20.16,11.81,17.52,9.02,58.51,52.57,64.45,5.94,Normal,Medium Risk
CAMDEN PROPERTY TRUST,10.22,0.12,23.18,24.85,58.37,53.04,63.7,5.33,ANOMALY,Medium Risk
DOMINOS PIZZA INC,24.88,12.93,20.4,0.12,58.33,53.0,63.66,5.33,ANOMALY,Medium Risk
Keurig Dr Pepper Inc.,11.32,12.38,18.66,15.88,58.24,52.91,63.57,5.33,Normal,Medium Risk
Bloom Energy Corp,19.86,24.11,2.26,12.0,58.23,52.9,63.56,5.33,Normal,Medium Risk
