Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
"SPX Technologies, Inc.",24.73,14.4,18.45,8.3,65.88,59.64,72.12,6.24,ANOMALY,High Risk
"Ventas, Inc.",10.91,19.41,17.39,18.14,65.85,60.22,71.48,5.63,Normal,High Risk
"Air Products & Chemicals, Inc.",12.45,23.46,13.96,15.98,65.85,60.22,71.48,5.63,Normal,High Risk
Lumentum Holdings Inc.,17.59,17.04,8.64,22.33,65.6,59.98,71.22,5.62,Normal,High Risk
WYNN RESORTS LTD,23.59,19.17,12.24,10.49,65.49,59.87,71.11,5.62,Normal,High Risk
AMEREN CORP,2.91,18.62,24.85,19.1,65.48,59.26,71.7,6.22,Normal,High Risk
DAVITA INC.,22.7,18.79,18.14,5.8,65.43,59.81,71.05,5.62,Normal,High Risk
WESCO INTERNATIONAL INC,16.5,16.94,21.19,10.7,65.33,59.72,70.94,5.61,Normal,High Risk
MICROCHIP TECHNOLOGY INC,14.06,22.82,13.67,14.78,65.33,59.12,71.54,6.21,Normal,High Risk
EVERSOURCE ENERGY,1.92,23.42,21.62,18.0,64.96,58.76,71.16,6.2,Normal,Medium Risk
Avery Dennison Corp,23.53,16.8,20.76,3.64,64.73,58.54,70.92,6.19,Normal,Medium Risk
TPG Inc.,16.43,20.13,13.24,14.81,64.61,59.03,70.19,5.58,Normal,Medium Risk
Arthur J. Gallagher & Co.,15.64,1.17,23.08,24.59,64.48,58.9,70.06,5.58,Normal,Medium Risk
"UDR, Inc.",13.82,6.21,24.62,19.82,64.47,58.89,70.05,5.58,Normal,Medium Risk
"Affirm Holdings, Inc.",17.46,22.15,8.81,16.05,64.47,58.89,70.05,5.58,Normal,Medium Risk
"PENSKE AUTOMOTIVE GROUP, INC.",15.98,9.74,23.53,15.09,64.34,58.77,69.91,5.57,Normal,Medium Risk
BLUE OWL CAPITAL INC.,10.39,10.94,19.27,23.63,64.23,58.66,69.8,5.57,Normal,Medium Risk
"Cloudflare, Inc.",18.52,23.56,7.44,14.47,63.99,58.43,69.55,5.56,Normal,Medium Risk
PFIZER INC,12.72,12.65,22.67,15.84,63.88,58.32,69.44,5.56,Normal,Medium Risk
GE Vernova Inc.,19.55,12.31,23.05,8.88,63.79,57.64,69.94,6.15,Normal,Medium Risk
"WEC ENERGY GROUP, INC.",2.81,18.11,24.11,18.76,63.79,57.64,69.94,6.15,Normal,Medium Risk
FISERV INC,15.88,9.53,21.67,16.53,63.61,58.07,69.15,5.54,Normal,Medium Risk
"Waste Connections, Inc.",13.89,13.34,23.9,12.38,63.51,57.97,69.05,5.54,Normal,Medium Risk
Fortive Corp,19.51,15.81,18.21,9.95,63.48,57.34,69.62,6.14,Normal,Medium Risk
Performance Food Group Co,18.07,21.95,19.55,3.84,63.41,57.27,69.55,6.14,Normal,Medium Risk
Dell Technologies Inc.,23.32,19.31,17.8,2.78,63.21,57.68,68.74,5.53,Normal,Medium Risk
LAMAR ADVERTISING CO/NEW,20.51,17.25,22.53,2.91,63.2,57.07,69.33,6.13,Normal,Medium Risk
CINTAS CORP,22.98,0.75,19.65,19.75,63.13,57.0,69.26,6.13,Normal,Medium Risk
EAST WEST BANCORP INC,21.6,0.12,16.43,24.85,63.0,57.48,68.52,5.52,ANOMALY,Medium Risk
GENERAL MILLS INC,17.32,0.72,21.57,23.32,62.93,57.41,68.45,5.52,Normal,Medium Risk
FORD MOTOR CO,21.06,20.61,12.96,8.2,62.83,57.32,68.34,5.51,Normal,Medium Risk
TORO CO,24.88,12.76,19.02,6.04,62.7,56.59,68.81,6.11,ANOMALY,Medium Risk
"Diamondback Energy, Inc.",6.72,13.85,23.97,18.07,62.61,57.11,68.11,5.5,Normal,Medium Risk
US Foods Holding Corp.,16.32,22.09,23.83,0.31,62.55,57.05,68.05,5.5,ANOMALY,Medium Risk
Gen Digital Inc.,20.54,15.26,14.03,12.69,62.52,57.02,68.02,5.5,Normal,Medium Risk
"KINDER MORGAN, INC.",11.76,8.64,24.66,17.46,62.52,57.02,68.02,5.5,Normal,Medium Risk
NEXTERA ENERGY INC,16.12,2.16,20.99,23.18,62.45,56.95,67.95,5.5,Normal,Medium Risk
MORGAN STANLEY,20.35,2.06,16.19,23.77,62.37,56.88,67.86,5.49,Normal,Medium Risk
"Coeur Mining, Inc.",24.49,1.23,16.5,20.06,62.28,56.19,68.37,6.09,ANOMALY,Medium Risk
Elanco Animal Health Inc,10.25,23.63,13.75,14.61,62.24,56.75,67.73,5.49,Normal,Medium Risk
RPM INTERNATIONAL INC/DE/,23.9,12.0,18.93,7.3,62.13,56.04,68.22,6.09,Normal,Medium Risk
"Core & Main, Inc.",16.6,18.76,24.28,2.47,62.11,56.63,67.59,5.48,Normal,Medium Risk
ROYAL CARIBBEAN CRUISES LTD,18.38,0.38,19.86,23.42,62.04,56.56,67.52,5.48,ANOMALY,Medium Risk
FAIR ISAAC CORP,24.42,0.41,18.59,18.59,62.01,56.53,67.49,5.48,ANOMALY,Medium Risk
BANK OF AMERICA CORP /DE/,20.35,5.01,16.19,20.44,61.99,56.51,67.47,5.48,Normal,Medium Risk
"Leonardo DRS, Inc.",24.52,16.91,14.92,5.52,61.87,55.8,67.94,6.07,Normal,Medium Risk
Hilton Worldwide Holdings Inc.,24.01,12.96,18.18,6.62,61.77,56.3,67.24,5.47,Normal,Medium Risk
Sunoco LP,17.22,21.74,17.9,4.87,61.73,56.26,67.2,5.47,Normal,Medium Risk
GOLDMAN SACHS GROUP INC,20.35,0.27,16.19,24.85,61.66,56.19,67.13,5.47,ANOMALY,Medium Risk
"ESSEX PROPERTY TRUST, INC.",12.04,7.0,22.29,20.3,61.63,56.16,67.1,5.47,Normal,Medium Risk
ALLSTATE CORP,17.94,10.32,23.8,9.57,61.63,55.56,67.7,6.07,Normal,Medium Risk
General Motors Co,18.79,22.26,12.69,7.89,61.63,56.16,67.1,5.47,Normal,Medium Risk
REALTY INCOME CORP,8.44,8.33,22.02,22.74,61.53,56.07,66.99,5.46,Normal,Medium Risk
NEW YORK TIMES CO,24.88,7.82,19.65,9.09,61.44,55.38,67.5,6.06,ANOMALY,Medium Risk
"MADRIGAL PHARMACEUTICALS, INC.",10.73,24.85,5.49,20.34,61.41,55.95,66.87,5.46,ANOMALY,Medium Risk
BERKLEY W R CORP,19.0,13.0,14.23,15.12,61.35,55.9,66.8,5.45,Normal,Medium Risk
SCHWAB CHARLES CORP,21.88,2.78,13.0,23.53,61.19,55.74,66.64,5.45,Normal,Medium Risk
PROGRESSIVE CORP/OH/,18.35,12.17,23.87,6.72,61.11,55.07,67.15,6.04,Normal,Medium Risk
"DOLLAR TREE, INC.",19.17,24.18,13.37,4.32,61.04,55.6,66.48,5.44,Normal,Medium Risk
"BJ's Wholesale Club Holdings, Inc.",16.91,21.23,22.63,0.27,61.04,55.6,66.48,5.44,ANOMALY,Medium Risk
WATSCO INC,24.55,17.7,17.73,0.99,60.97,54.93,67.01,6.04,ANOMALY,Medium Risk
