Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
126,AMERICAN EXPRESS CO,4962,27.82,10.83,300.05,266.58,0.65,High Risk,100.0
127,Baker Hughes Co,1701605,27.73,2.59,40.88,9.445,7.02,Low Risk,80.0
128,"MARSH & MCLENNAN COMPANIES, INC.",62709,26.98,4.16,58.71,9.445,2.69,Low Risk,80.0
129,Booking Holdings Inc.,1075531,26.92,0.29,29.26,34.84,17.2,High Risk,100.0
130,MCDONALDS CORP,63908,26.89,8.56,59.52,9.445,0.77,Low Risk,80.0
131,HF Sinclair Corp,1915657,26.87,0.58,16.51,7.26,0.98,Low Risk,100.0
132,"AMERICAN INTERNATIONAL GROUP, INC.",5272,26.77,3.1,161.25,120.09,0.3725,Medium Risk,80.0
133,MARRIOTT INTERNATIONAL INC /MD/,1048286,26.19,2.6,27.54,9.445,0.36,Low Risk,80.0
134,JONES LANG LASALLE INC,1037976,26.12,0.79,17.8,10.18,0.6,Medium Risk,100.0
135,FREEPORT-MCMORAN INC,831259,25.91,0.98,58.17,27.4,3.82,Low Risk,80.0
136,Constellation Energy Corp,1868275,25.53,2.32,57.25,42.4,3.64,Medium Risk,100.0
137,AMGEN INC,318154,25.42,7.71,90.59,9.445,9.13,Low Risk,80.0
138,JABIL INC,898293,25.28,0.66,18.54,17.03,1.93,High Risk,100.0
139,Sunoco LP,1552275,25.2,0.53,28.36,20.35,0.89,Medium Risk,100.0
140,"Live Nation Entertainment, Inc.",1335258,25.2,0.5,22.91,9.445,7.09,Low Risk,80.0
141,STRYKER CORP,310764,25.12,3.25,47.84,25.42,4.01,Medium Risk,100.0
142,NUCOR CORP,73309,25.07,1.74,35.1,12.98,2.26,Low Risk,100.0
143,3M CO,66740,24.95,3.25,37.73,32.99,2.4,High Risk,100.0
144,PG&E Corp,1004980,24.93,1.22,141.61,9.445,0.71,Low Risk,80.0
145,"GILEAD SCIENCES, INC.",882095,24.69,8.51,59.02,9.445,5.41,Low Risk,80.0
146,EMERSON ELECTRIC CO,32604,24.41,2.29,41.96,9.445,2.35,Low Risk,80.0
147,GENUINE PARTS CO,40987,24.3,0.07,20.8,9.445,0.33,Low Risk,80.0
148,EXELON CORP,1109357,24.26,1.17,116.57,87.77,0.63,Medium Risk,100.0
149,"Block, Inc.",1512673,24.19,1.31,39.55,17.38,6.56,Low Risk,100.0
150,SCHWAB CHARLES CORP,316709,23.92,8.85,491.0,441.57,40.35200000000017,High Risk,100.0
151,ADOBE INC.,796343,23.77,7.13,29.5,17.87,5.43,Medium Risk,100.0
152,REINSURANCE GROUP OF AMERICA INC,898174,23.7,1.18,156.59,143.04,4.17,High Risk,100.0
153,INTERNATIONAL PAPER CO /NEW/,51434,23.63,-2.9459999999999997,37.96,9.445,1.15,Low Risk,80.0
154,"ALTRIA GROUP, INC.",764180,23.28,6.95,35.02,38.47,4.47,High Risk,100.0
155,"PNC FINANCIAL SERVICES GROUP, INC.",713676,23.1,0.98,573.57,512.94,0.3725,High Risk,60.0
156,AMPHENOL CORP /DE/,820313,23.09,4.27,36.24,22.73,11.13,Medium Risk,100.0
157,EOG RESOURCES INC,821189,22.63,4.98,51.8,9.445,3.4,Low Risk,80.0
158,ONEOK INC /NEW/,1039684,22.39,3.39,66.64,9.445,0.08,Low Risk,80.0
159,STEEL DYNAMICS INC,1022671,22.26,1.19,16.42,7.49,0.77,Low Risk,100.0
160,AMERICAN ELECTRIC POWER CO INC,4904,21.88,1.48,114.46,82.2,0.2,Medium Risk,100.0
161,VISA INC.,1403161,21.85,20.06,99.63,61.72,17.16,Medium Risk,100.0
162,BECTON DICKINSON & CO,10795,21.84,1.68,55.33,9.445,0.64,Low Risk,80.0
163,CARRIER GLOBAL Corp,1783180,21.75,1.48,37.19,23.06,1.55,Medium Risk,100.0
164,"BJ's Wholesale Club Holdings, Inc.",1531152,21.46,0.58,7.51,5.31,0.05,Medium Risk,100.0
165,FISERV INC,798354,21.19,3.48,80.13,54.32,0.8,Medium Risk,100.0
166,"ROSS STORES, INC.",745732,21.13,2.09,14.91,9.445,4.73,Low Risk,80.0
167,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1058290,21.11,2.23,20.69,5.68,1.9,Low Risk,100.0
168,THERMO FISHER SCIENTIFIC INC.,97745,20.92,6.7,110.34,9.445,9.85,Low Risk,80.0
169,Broadcom Inc.,1730168,20.85,5.89,171.09,89.8,16.18,Medium Risk,100.0
170,GE HealthCare Technologies Inc.,1932393,20.62,2.08,36.91,26.31,4.49,Medium Risk,100.0
171,AUTOMATIC DATA PROCESSING INC,8670,20.56,4.08,53.37,47.18,3.35,High Risk,100.0
172,"DuPont de Nemours, Inc.",1666700,20.4,-0.78,21.57,7.47,0.71,Low Risk,100.0
173,Aptiv PLC,1521332,20.4,0.17,23.41,13.91,1.85,Medium Risk,100.0
