Company,Cluster,Cluster_Label,Debt_Ratio,Profit_Margin,Cash_Ratio,Asset_Efficiency,Return_on_Assets,PRS_Score,Risk_Level
CELESTICA INC,0,Medium Risk Cluster,0.6934812760055479,0.06698950766747376,0.12,1.7184466019417477,0.11511789181692093,46.47,Low Risk
CENTENE CORP,0,Medium Risk Cluster,0.7386319218241042,-0.01512475613512681,0.31557593931910394,2.5378501628664494,-0.03838436482084691,46.82,Low Risk
CENTERPOINT ENERGY INC,0,Medium Risk Cluster,0.2029873200085966,0.1121794871794872,0.004235044997353097,0.2011605415860735,0.02256608639587363,58.87,Medium Risk
"CF Industries Holdings, Inc.",0,Medium Risk Cluster,0.670333569907736,0.2175141242937853,0.030704076230809948,0.5024840312278211,0.10929737402413059,52.04,Low Risk
CHART INDUSTRIES INC,0,Medium Risk Cluster,0.655453618756371,0.04040404040404041,0.05754276827371695,0.10091743119266054,0.004077471967380224,73.69,High Risk
"CHARTER COMMUNICATIONS, INC. /MO/",0,Medium Risk Cluster,0.061247649309383305,0.09110827095125068,0.05082053996823716,0.3551650346929512,0.03235847221321574,47.89,Low Risk
CHEVRON CORP,0,Medium Risk Cluster,0.40690102157340824,0.06506903666084748,0.06204490291262135,0.5834079195086571,0.03796179130273757,50.41,Low Risk
CHIPOTLE MEXICAN GRILL INC,0,Medium Risk Cluster,0.6852057842046718,0.12908633696563288,0.056818181818181816,1.3270300333704115,0.17130144605116795,46.91,Low Risk
CHURCH & DWIGHT CO INC /DE/,0,Medium Risk Cluster,0.5510662177328844,0.11935483870967742,0.0835030549898167,0.6958473625140292,0.08305274971941638,45.26,Low Risk
CIENA CORP,0,Medium Risk Cluster,0.5358361774744027,0.025157232704402517,0.3471337579617835,0.8139931740614333,0.020477815699658702,42.84,Low Risk
CINCINNATI FINANCIAL CORP,0,Medium Risk Cluster,0.6119512195121951,0.1892319873317498,0.04543642885611797,0.3080487804878049,0.05829268292682927,55.37,Medium Risk
"CISCO SYSTEMS, INC.",0,Medium Risk Cluster,0.6169760405593262,0.20636529495236164,0.11066931742876077,0.4033853953716575,0.08324474609534711,46.22,Low Risk
CITIGROUP INC,0,Medium Risk Cluster,0.8501924230307892,0.16791832903074397,0.05930402424363567,0.10648240703718499,0.017880347860855638,67.68,High Risk
CITIZENS FINANCIAL GROUP INC/RI,0,Medium Risk Cluster,0.8837199028053899,0.22181818181818183,0.02034694795780633,0.03644797879390325,0.008084824387011266,72.77,High Risk
CLEAN HARBORS INC,0,Medium Risk Cluster,0.33727034120734906,0.1326530612244898,0.08949416342412453,0.3858267716535433,0.051181102362204724,43.81,Low Risk
CLOROX CO /DE/,0,Medium Risk Cluster,0.9136690647482015,0.1323529411764706,0.03346456692913386,1.1007194244604317,0.14568345323741008,55.73,Medium Risk
CME GROUP INC.,0,Medium Risk Cluster,0.8552565265598226,0.6242331288343559,0.026045963464938128,0.03285959076705977,0.020512045156738233,66.63,High Risk
CMS ENERGY CORP,0,Medium Risk Cluster,0.23647971957936909,0.12529274004683844,0.05399682371625199,0.21382073109664496,0.026790185277916878,51.06,Low Risk
CNA FINANCIAL CORP,0,Medium Risk Cluster,0.8326612903225806,0.08539026017344897,0.006442407471463162,0.21586981566820276,0.018433179723502304,77.27,High Risk
CNH Industrial N.V.,0,Medium Risk Cluster,0.8168421052631579,0.028192371475953566,0.07388316151202749,0.4231578947368421,0.011929824561403509,68.11,High Risk
COGNIZANT TECHNOLOGY SOLUTIONS CORP,0,Medium Risk Cluster,0.27452875785403574,0.10563713879677877,0.3345070422535211,1.0202996616723055,0.10778153697438375,27.34,Low Risk
COHERENT CORP.,0,Medium Risk Cluster,0.4312541918175721,0.04310344827586207,0.14152410575427685,0.07780013413816231,0.00335345405767941,60.07,Medium Risk
COLGATE PALMOLIVE CO,0,Medium Risk Cluster,0.9773423147581141,0.1378640776699029,0.08082706766917293,0.9461114513165952,0.13043478260869565,52.51,Low Risk
COMFORT SYSTEMS USA INC,0,Medium Risk Cluster,0.6195652173913043,0.11208791208791209,0.24561403508771928,1.4130434782608694,0.15838509316770186,36.18,Low Risk
CONOCOPHILLIPS,0,Medium Risk Cluster,0.47113334426767267,0.13556158805564983,0.11314186248912098,0.4833524684270953,0.06552402821059537,43.72,Low Risk
CONSOLIDATED EDISON INC,0,Medium Risk Cluster,0.12660857908847187,0.1193853427895981,0.17257808364213867,0.22680965147453086,0.027077747989276143,40.71,Low Risk
"CONSTELLATION BRANDS, INC.",0,Medium Risk Cluster,0.6706697459584295,-0.007835455435847209,0.004820936639118458,0.471593533487298,-0.0036951501154734415,73.91,High Risk
"COOPER COMPANIES, INC.",0,Medium Risk Cluster,0.3357546408393866,0.14624505928853757,0.026442307692307692,0.2041969330104923,0.02986279257465698,54.16,Low Risk
CORNING INC /NY,0,Medium Risk Cluster,0.6026468689477082,0.10236724248240563,0.0819496518478843,0.5045190445448676,0.051646223369916075,52.47,Low Risk
"CORPAY, INC.",0,Medium Risk Cluster,0.3576296857251041,0.23620309050772628,0.25516146109052407,0.17152593714502085,0.04051495645588792,37.52,Low Risk
"COSTAR GROUP, INC.",0,Medium Risk Cluster,0.2058823529411765,0.010309278350515464,0.7511520737327189,0.09203036053130931,0.0009487666034155599,49.83,Low Risk
COSTCO WHOLESALE CORP /NEW,0,Medium Risk Cluster,0.6217898832684825,0.029428862083999415,0.295369211514393,2.8680135013780084,0.10505836575875487,40.86,Low Risk
CRH PUBLIC LTD CO,0,Medium Risk Cluster,0.5631750385736328,0.10013351134846461,0.12480974124809739,0.6420366878107321,0.06428938796502658,45.85,Low Risk
CROWN CASTLE INC.,0,Medium Risk Cluster,1.051713197969543,0.10328638497652583,0.0030165912518853697,0.1351522842639594,0.013959390862944163,82.95,Very High Risk
"CROWN HOLDINGS, INC.",0,Medium Risk Cluster,0.6618780658724598,0.0634648370497427,0.08046585494970884,0.8170988086895585,0.05185704274702173,52.64,Low Risk
CSX CORP,0,Medium Risk Cluster,0.6987179487179487,0.2716165413533835,0.06422018348623854,0.2435897435897436,0.06616300366300366,53.9,Low Risk
CUMMINS INC,0,Medium Risk Cluster,0.6054721977052073,0.03088803088803089,0.10204081632653063,0.9905854663136217,0.030597234480729627,50.54,Low Risk
CURTISS WRIGHT CORP,0,Medium Risk Cluster,0.5153256704980843,0.20083682008368198,0.06319702602230484,0.45785440613026823,0.09195402298850575,45.37,Low Risk
CVS HEALTH Corp,0,Medium Risk Cluster,0.7026899108621913,0.005843628464083125,0.04742927705433318,1.1946596197838646,0.006981146959059715,59.77,Medium Risk
Carlyle Group Inc.,0,Medium Risk Cluster,0.757554945054945,0.1694560669456067,0.08930190389845875,0.16414835164835165,0.027815934065934068,60.69,Medium Risk
"Celsius Holdings, Inc.",0,Medium Risk Cluster,0.42578125,0.08333333333333333,0.1834862385321101,0.2578125,0.021484375,48.8,Low Risk
"Cencora, Inc.",0,Medium Risk Cluster,0.1233189711450581,0.00511730176233268,0.46161990471148756,2.8680135013780084,0.020237628933281106,28.01,Low Risk
"Cheniere Energy Partners, L.P.",0,Medium Risk Cluster,0.9759174311926605,0.27788104089219334,0.010575793184488837,0.6169724770642201,0.17144495412844038,58.75,Medium Risk
"Cheniere Energy, Inc.",0,Medium Risk Cluster,0.7268170426065161,0.26676676676676675,0.031609195402298854,0.41729323308270677,0.11131996658312447,54.59,Low Risk
"Chewy, Inc.",0,Medium Risk Cluster,0.9136212624584719,0.032883642495784154,0.21818181818181817,2.8680135013780084,0.12956810631229237,49.95,Low Risk
Chubb Ltd,0,Medium Risk Cluster,0.7070465978775751,0.1735690235690236,0.01043884705271358,0.21811772481915323,0.03785848051995741,66.11,High Risk
Cigna Group,0,Medium Risk Cluster,0.7348657548125633,0.02168061113132048,0.06617837139164154,1.7407548125633232,0.037740628166160084,55.32,Medium Risk
"Circle Internet Group, Inc.",0,Medium Risk Cluster,0.9576927963409986,-0.025454545454545455,0.020297161050676575,0.034938381400076234,-0.000889340617456486,91.45,Very High Risk
"Cloudflare, Inc.",0,Medium Risk Cluster,0.7582781456953642,-0.04608294930875576,0.20524017467248906,0.35927152317880795,-0.016556291390728478,63.99,Medium Risk
"Coca-Cola Consolidated, Inc.",0,Medium Risk Cluster,1.172093023255814,0.0788381742738589,0.05555555555555556,1.6813953488372095,0.1325581395348837,58.21,Medium Risk
"Coeur Mining, Inc.",0,Medium Risk Cluster,2.0095744680851064,0.8309859154929577,0.058231868713605084,0.15106382978723404,0.125531914893617,62.28,Medium Risk
"Confluent, Inc.",0,Medium Risk Cluster,0.608695652173913,-0.25641025641025644,0.1923076923076923,0.3913043478260869,-0.1003344481605351,59.74,Medium Risk
Constellation Energy Corp,0,Medium Risk Cluster,0.7406113537117903,0.09087348217782999,0.0858490566037736,0.445938864628821,0.04052401746724891,59.4,Medium Risk
"Core & Main, Inc.",0,Medium Risk Cluster,0.6984667802385007,0.05510752688172042,0.002439024390243903,1.2674616695059626,0.06984667802385008,62.11,Medium Risk
"CoreWeave, Inc.",0,Medium Risk Cluster,0.9324543610547668,-0.22807017543859648,0.06808788340221884,0.10405679513184585,-0.023732251521298174,83.85,Very High Risk
"Corebridge Financial, Inc.",0,Medium Risk Cluster,0.9662435013904002,-0.02002164502164502,0.001193188999862925,0.044686253173739574,-0.0008946922983919719,94.98,Very High Risk
"Corteva, Inc.",0,Medium Risk Cluster,0.22047152194211017,0.06264367816091955,0.4785600847008999,0.40616246498599434,0.025443510737628384,38.86,Low Risk
Coterra Energy Inc.,0,Medium Risk Cluster,0.38737623762376244,0.22513089005235604,0.011714589989350372,0.31518151815181517,0.07095709570957096,50.34,Low Risk
"Coupang, Inc.",0,Medium Risk Cluster,0.7397414277684092,0.006081668114682884,0.48024316109422494,1.9409780775716696,0.011804384485666104,44.69,Low Risk
Crane Co,0,Medium Risk Cluster,2.4532467532467535,0.16017316017316016,0.05399682371625199,0.6,0.0961038961038961,60.25,Medium Risk
"CrowdStrike Holdings, Inc.",0,Medium Risk Cluster,0.5960324616771867,-0.019838809671419717,0.7912254160363087,0.7272317403065824,-0.01442741208295762,44.62,Low Risk
DARDEN RESTAURANTS INC,0,Medium Risk Cluster,0.8165210484511517,0.0869205298013245,0.023346303501945526,0.9594916600476568,0.08339952343129468,60.27,Medium Risk
DAVITA INC.,0,Medium Risk Cluster,0.9336384439359268,0.05498533724340176,0.04166666666666667,0.7803203661327232,0.04290617848970252,65.43,High Risk
DECKERS OUTDOOR CORP,0,Medium Risk Cluster,2.639485060690944,0.19438877755511022,0.2001058761249338,1.3977591036414567,0.27170868347338933,41.95,Low Risk
DEERE & CO,0,Medium Risk Cluster,0.7546226415094339,0.11011383537653241,0.10351293911738967,0.4309433962264151,0.04745283018867925,57.23,Medium Risk
DEVON ENERGY CORP/DE,0,Medium Risk Cluster,0.2988924050632911,0.15357766143106458,0.14610905240868183,0.5439873417721519,0.08354430379746836,34.38,Low Risk
"DICK'S SPORTING GOODS, INC.",0,Medium Risk Cluster,0.902963671128107,0.013392857142857142,0.17893065113816833,1.2848948374760993,0.017208413001912042,54.84,Low Risk
"DIGITAL REALTY TRUST, INC.",0,Medium Risk Cluster,0.49706537138231127,0.2144026186579378,0.14047231270358307,0.12365917830398707,0.026512851649463674,47.49,Low Risk
DOLLAR GENERAL CORP,0,Medium Risk Cluster,0.30340507548988116,0.027825658704752523,0.0984647961884595,1.3045293928686155,0.036299389656280115,40.96,Low Risk
"DOLLAR TREE, INC.",0,Medium Risk Cluster,0.7870171673819742,-0.16757679180887375,0.08588957055214724,0.9431330472103003,-0.1580472103004292,61.04,Medium Risk
"DOMINION ENERGY, INC",0,Medium Risk Cluster,0.711548420507509,0.18170805572380375,0.0030325084910237748,0.14249956844467462,0.02589331952356292,70.19,High Risk
DOMINOS PIZZA INC,0,Medium Risk Cluster,2.639485060690944,0.12145748987854249,0.02313167259786477,2.8680135013780084,0.31078385848535156,58.33,Medium Risk
DONALDSON Co INC,0,Medium Risk Cluster,0.5100671140939598,0.13028169014084506,0.11842105263157894,0.9530201342281879,0.12416107382550336,37.59,Low Risk
DOVER Corp,0,Medium Risk Cluster,0.7038002980625931,0.6123595505617978,0.05399682371625199,0.13263785394932937,0.0812220566318927,56.25,Medium Risk
DOW INC.,0,Medium Risk Cluster,0.16134267167748548,0.024518388791593695,0.4044467972472207,0.6827810044414075,0.016740690126409292,35.25,Low Risk
"DT Midstream, Inc.",0,Medium Risk Cluster,0.5158730158730159,0.3548387096774194,0.009615384615384616,0.12301587301587301,0.04365079365079365,57.41,Medium Risk
DTE ENERGY CO,0,Medium Risk Cluster,0.17468096911411135,0.11578112609040445,0.02223398623610376,0.2332162012206399,0.02700203439985204,53.76,Low Risk
DYCOM INDUSTRIES INC,0,Medium Risk Cluster,0.6889632107023411,0.35443037974683544,0.17233009708737862,0.13210702341137123,0.04682274247491639,48.74,Low Risk
"Datadog, Inc.",0,Medium Risk Cluster,0.43825301204819284,0.03206997084548105,0.13745704467353953,0.5165662650602411,0.016566265060240965,49.05,Low Risk
Dell Technologies Inc.,0,Medium Risk Cluster,1.0173040752351097,0.04802762373129643,0.044743005053617654,1.1983699059561128,0.05755485893416928,63.21,Medium Risk
"Diamondback Energy, Inc.",0,Medium Risk Cluster,0.39529974669293555,0.1104457751164338,0.00355998576005696,0.21151139881790035,0.023360540388404162,62.61,Medium Risk
"DoorDash, Inc.",0,Medium Risk Cluster,0.4888097660223804,0.06851311953352769,0.4557752341311134,0.6978636826042727,0.04781281790437436,38.13,Low Risk
